iter	Passed	Remaining
0	49	49146
1	108	53940
2	169	56466
3	225	56068
4	289	57681
5	341	56567
6	395	56144
7	454	56394
8	505	55686
9	555	54948
10	610	54912
11	658	54256
12	710	53912
13	760	53542
14	815	53569
15	865	53217
16	920	53236
17	977	53306
18	1017	52521
19	1067	52286
20	1120	52251
21	1183	52620
22	1238	52590
23	1293	52606
24	1346	52529
25	1380	51716
26	1417	51094
27	1465	50879
28	1517	50797
29	1571	50803
30	1622	50712
31	1674	50649
32	1720	50413
33	1774	50417
34	1820	50206
35	1872	50152
36	1929	50219
37	1976	50035
38	2026	49927
39	2077	49863
40	2133	49911
41	2191	49981
42	2245	49983
43	2306	50105
44	2358	50048
45	2411	50007
46	2468	50044
47	2518	49944
48	2567	49821
49	2619	49761
50	2665	49607
51	2721	49614
52	2770	49494
53	2813	49292
54	2868	49286
55	2916	49169
56	2972	49184
57	3026	49162
58	3086	49232
59	3150	49361
60	3210	49423
61	3263	49369
62	3321	49397
63	3373	49342
64	3429	49326
65	3476	49190
66	3531	49179
67	3579	49055
68	3632	49009
69	3680	48899
70	3733	48848
71	3777	48684
72	3831	48651
73	3879	48545
74	3931	48482
75	3977	48356
76	4032	48335
77	4084	48275
78	4141	48287
79	4192	48208
80	4250	48228
81	4302	48170
82	4359	48164
83	4417	48168
84	4472	48141
85	4517	48012
86	4571	47970
87	4633	48023
88	4685	47964
89	4736	47886
90	4791	47860
91	4848	47854
92	4903	47823
93	4957	47785
94	5011	47742
95	5060	47653
96	5119	47659
97	5179	47669
98	5244	47730
99	5295	47661
100	5347	47596
101	5400	47547
102	5456	47523
103	5509	47463
104	5564	47429
105	5626	47453
106	5678	47390
107	5728	47315
108	5779	47240
109	5827	47146
110	5881	47107
111	5927	46993
112	5978	46927
113	6032	46883
114	6085	46835
115	6148	46854
116	6203	46817
117	6267	46849
118	6323	46814
119	6375	46756
120	6426	46686
121	6483	46659
122	6535	46600
123	6584	46517
124	6629	46405
125	6690	46407
126	6739	46330
127	6794	46286
128	6843	46207
129	6899	46170
130	6949	46103
131	7005	46066
132	7064	46052
133	7107	45934
134	7158	45868
135	7217	45850
136	7272	45811
137	7329	45785
138	7379	45709
139	7431	45650
140	7490	45634
141	7547	45601
142	7599	45546
143	7651	45485
144	7697	45388
145	7750	45332
146	7799	45256
147	7852	45205
148	7902	45135
149	7959	45104
150	8009	45031
151	8051	44917
152	8102	44853
153	8155	44802
154	8217	44799
155	8280	44799
156	8338	44774
157	8378	44650
158	8431	44596
159	8492	44587
160	8550	44556
161	8596	44469
162	8653	44436
163	8709	44399
164	8763	44347
165	8812	44273
166	8865	44220
167	8909	44123
168	8957	44046
169	9009	43989
170	9058	43915
171	9119	43902
172	9173	43851
173	9229	43815
174	9292	43807
175	9343	43745
176	9397	43695
177	9444	43615
178	9491	43533
179	9540	43462
180	9582	43361
