iter	Passed	Remaining
0	58	58735
1	112	56341
2	172	57299
3	226	56401
4	288	57364
5	346	57397
6	397	56427
7	444	55152
8	496	54674
9	545	54025
10	598	53819
11	647	53295
12	699	53102
13	754	53133
14	807	53043
15	864	53174
16	918	53138
17	965	52680
18	1018	52603
19	1072	52543
20	1133	52836
21	1185	52690
22	1244	52866
23	1294	52625
24	1346	52526
25	1394	52245
26	1445	52104
27	1501	52110
28	1554	52064
29	1605	51910
30	1660	51912
31	1708	51672
32	1758	51543
33	1814	51566
34	1868	51504
35	1926	51589
36	1979	51509
37	2026	51313
38	2084	51355
39	2138	51321
40	2197	51402
41	2252	51377
42	2306	51334
43	2355	51174
44	2407	51098
45	2468	51204
46	2522	51156
47	2569	50965
48	2626	50971
49	2673	50796
50	2727	50745
51	2782	50735
52	2831	50596
53	2882	50497
54	2931	50367
55	2982	50271
56	3029	50125
57	3086	50126
58	3153	50295
59	3213	50350
60	3264	50250
61	3317	50185
62	3368	50103
63	3418	50001
64	3470	49922
65	3527	49922
66	3583	49898
67	3639	49880
68	3692	49818
69	3742	49726
70	3796	49670
71	3841	49519
72	3901	49548
73	3972	49708
74	4043	49865
75	4096	49803
76	4157	49830
77	4218	49859
78	4274	49831
79	4340	49915
80	4389	49797
81	4442	49731
82	4497	49688
83	4553	49650
84	4599	49516
85	4651	49436
86	4701	49338
87	4754	49269
88	4806	49199
89	4852	49061
90	4894	48892
91	4941	48770
92	4997	48740
93	5046	48638
94	5110	48679
95	5165	48641
96	5226	48659
97	5274	48543
98	5329	48507
99	5376	48391
100	5429	48329
101	5478	48233
102	5529	48158
103	5573	48016
104	5623	47933
105	5672	47841
106	5726	47793
107	5768	47646
108	5819	47568
109	5866	47467
110	5918	47399
111	5965	47300
112	6022	47275
113	6077	47235
114	6137	47234
115	6190	47176
116	6251	47182
117	6309	47159
118	6363	47110
119	6416	47055
120	6473	47028
121	6524	46957
122	6578	46907
123	6623	46789
124	6679	46757
125	6727	46666
126	6782	46621
127	6830	46534
128	6884	46485
129	6933	46402
130	6980	46309
131	7032	46241
132	7091	46226
133	7149	46202
134	7210	46202
135	7260	46126
136	7314	46076
137	7362	45987
138	7416	45938
139	7477	45935
140	7531	45885
141	7581	45807
142	7639	45785
143	7700	45776
144	7757	45741
145	7811	45693
146	7867	45652
147	7919	45588
148	7975	45550
149	8030	45505
150	8085	45459
151	8146	45449
152	8209	45448
153	8264	45401
154	8316	45340
155	8366	45263
156	8412	45168
157	8462	45099
158	8511	45018
159	8569	44989
160	8622	44933
161	8675	44875
162	8716	44761
163	8770	44705
164	8819	44633
165	8874	44586
166	8928	44533
167	8980	44475
168	9032	44412
169	9090	44383
170	9153	44375
171	9213	44355
172	9262	44279
173	9310	44196
174	9364	44146
175	9424	44125
176	9484	44098
177	9536	44037
178	9596	44013
179	9650	43961
180	9702	43900
181	9758	43861
182	9813	43813
183	9857	43716
184	9912	43668
185	9962	43599
186	10016	43547
187	10076	43521
188	10134	43487
189	10185	43421
190	10245	43393
191	10291	43311
192	10348	43271
193	10398	43201
194	10454	43156
195	10504	43088
196	10558	43037
197	10605	42957
198	10661	42914
199	10708	42832
200	10764	42789
201	10813	42719
202	10867	42665
203	10917	42600
204	10971	42547
205	11025	42495
206	11083	42460
207	11128	42373
208	11170	42278
209	11212	42180
210	11256	42093
211	11304	42019
212	11357	41962
213	11406	41894
214	11457	41833
215	11504	41757
216	11558	41707
217	11609	41644
218	11661	41587
219	11710	41518
220	11768	41482
221	11818	41417
222	11873	41370
223	11921	41297
224	11976	41250
225	12040	41234
226	12099	41202
227	12152	41147
228	12208	41103
229	12258	41040
230	12314	40994
231	12367	40939
232	12414	40866
233	12465	40804
234	12512	40732
235	12560	40661
236	12609	40596
237	12660	40533
238	12709	40469
239	12761	40411
240	12808	40340
241	12860	40283
242	12913	40227
243	12968	40179
244	13021	40128
245	13079	40090
246	13136	40046
247	13197	40019
248	13250	39963
249	13298	39895
250	13348	39833
251	13399	39772
252	13453	39723
253	13498	39645
254	13546	39577
255	13597	39517
256	13650	39464
257	13695	39388
258	13752	39345
259	13801	39281
260	13856	39232
261	13906	39171
262	13958	39114
263	14009	39056
264	14067	39017
265	14124	38974
266	14183	38938
267	14236	38883
268	14291	38836
269	14339	38769
270	14393	38718
271	14440	38649
272	14496	38603
273	14545	38541
274	14604	38503
275	14650	38430
276	14707	38387
277	14759	38331
278	14817	38291
279	14867	38230
280	14920	38176
281	14968	38110
282	15026	38069
283	15083	38028
284	15135	37970
285	15189	37921
286	15238	37857
287	15294	37812
288	15343	37747
289	15393	37688
290	15444	37628
291	15495	37571
292	15547	37515
293	15596	37451
294	15654	37412
295	15703	37348
296	15755	37293
297	15805	37232
298	15859	37181
299	15903	37109
300	15956	37054
301	16009	37003
302	16073	36975
303	16126	36922
304	16190	36893
305	16245	36844
