iter	Passed	Remaining
0	50	50855
1	111	55654
2	164	54711
3	211	52652
4	264	52664
5	313	51877
6	364	51670
7	412	51206
8	464	51117
9	523	51863
10	578	52030
11	635	52363
12	696	52883
13	748	52689
14	806	52975
15	857	52731
16	908	52520
17	959	52320
18	1012	52264
19	1065	52226
20	1118	52144
21	1173	52169
22	1226	52101
23	1270	51668
24	1325	51684
25	1372	51409
26	1425	51378
27	1474	51188
28	1530	51250
29	1579	51059
30	1634	51100
31	1687	51037
32	1749	51253
33	1811	51475
34	1870	51568
35	1918	51386
36	1976	51432
37	2022	51202
38	2074	51125
39	2125	51012
40	2178	50954
41	2226	50785
42	2279	50735
43	2327	50569
44	2380	50509
45	2431	50420
46	2484	50386
47	2531	50210
48	2586	50206
49	2636	50095
50	2696	50185
51	2751	50153
52	2811	50236
53	2862	50142
54	2916	50108
55	2965	49993
56	3021	49992
57	3077	49989
58	3129	49915
59	3177	49779
60	3232	49754
61	3282	49654
62	3337	49640
63	3396	49670
64	3456	49717
65	3508	49648
66	3565	49651
67	3617	49585
68	3666	49469
69	3726	49506
70	3782	49496
71	3842	49520
72	3890	49409
73	3946	49386
74	3994	49268
75	4047	49207
76	4106	49220
77	4159	49171
78	4208	49058
79	4262	49023
80	4313	48939
81	4369	48921
82	4417	48802
83	4470	48752
84	4519	48648
85	4572	48592
86	4631	48606
87	4690	48614
88	4742	48547
89	4802	48561
90	4856	48515
91	4910	48465
92	4961	48386
93	5015	48339
94	5061	48219
95	5115	48170
96	5162	48059
97	5217	48017
98	5265	47919
99	5322	47903
100	5368	47788
101	5422	47736
102	5467	47617
103	5520	47564
104	5579	47559
105	5634	47517
106	5688	47473
107	5748	47477
108	5804	47450
109	5861	47424
110	5913	47363
111	5965	47295
112	6018	47243
113	6069	47172
114	6122	47112
115	6166	46994
116	6222	46963
117	6271	46874
118	6321	46803
119	6368	46701
120	6421	46645
121	6468	46549
122	6515	46455
123	6565	46382
124	6622	46360
125	6677	46319
126	6737	46317
127	6792	46271
128	6853	46277
129	6901	46185
130	6959	46169
131	7009	46095
132	7062	46039
133	7113	45975
134	7168	45930
135	7218	45855
136	7267	45781
137	7316	45702
138	7373	45671
139	7425	45614
140	7477	45556
141	7529	45496
142	7579	45421
143	7640	45416
144	7695	45378
145	7756	45368
146	7821	45384
147	7871	45316
148	7920	45236
149	7975	45193
150	8024	45116
151	8080	45079
152	8132	45023
153	8182	44953
154	8233	44885
155	8286	44829
156	8334	44749
157	8378	44648
158	8428	44579
159	8477	44506
160	8530	44452
161	8578	44373
162	8627	44301
163	8686	44278
164	8740	44231
165	8801	44218
166	8852	44158
167	8914	44147
168	8967	44094
169	9023	44054
170	9080	44021
171	9118	43897
172	9167	43825
173	9210	43723
174	9266	43683
175	9322	43645
176	9370	43570
177	9424	43520
178	9475	43458
179	9524	43389
180	9578	43341
181	9630	43284
182	9695	43287
183	9753	43256
184	9813	43233
185	9862	43160
186	9918	43122
187	9972	43073
188	10026	43023
189	10082	42983
190	10128	42901
191	10179	42838
192	10230	42776
193	10286	42738
194	10334	42661
195	10386	42607
196	10433	42527
197	10484	42466
198	10536	42409
199	10586	42347
200	10646	42322
201	10704	42287
202	10765	42267
203	10822	42227
204	10875	42176
205	10924	42106
206	10980	42064
207	11027	41990
208	11082	41944
209	11130	41873
210	11176	41791
211	11221	41711
212	11276	41663
213	11324	41592
214	11380	41552
215	11428	41480
216	11481	41428
217	11534	41374
218	11583	41307
219	11643	41281
220	11695	41224
221	11753	41191
222	11806	41137
223	11867	41113
224	11915	41043
225	11974	41008
226	12026	40952
227	12082	40911
228	12135	40858
229	12191	40815
230	12236	40736
231	12288	40680
232	12338	40617
233	12391	40562
234	12439	40495
235	12487	40424
236	12538	40365
237	12590	40309
238	12648	40272
239	12700	40219
240	12766	40206
241	12814	40137
242	12869	40092
243	12921	40034
244	12977	39990
245	13024	39920
246	13077	39867
247	13125	39798
248	13176	39742
249	13229	39688
250	13280	39631
251	13334	39581
252	13381	39509
253	13434	39455
254	13483	39392
255	13537	39344
256	13578	39256
257	13635	39216
258	13690	39168
259	13747	39128
260	13802	39080
261	13863	39050
262	13917	39001
263	13972	38954
264	14023	38896
265	14082	38860
266	14141	38822
267	14199	38783
268	14244	38708
269	14294	38648
270	14344	38587
271	14398	38536
272	14448	38476
273	14500	38421
274	14548	38356
275	14605	38313
276	14652	38245
277	14713	38212
278	14766	38160
279	14825	38123
280	14875	38063
281	14931	38017
282	14973	37935
283	15024	37878
284	15074	37819
285	15127	37766
286	15173	37694
287	15227	37645
288	15280	37592
289	15333	37540
290	15381	37476
291	15439	37435
292	15485	37367
293	15539	37316
294	15592	37262
295	15653	37230
296	15704	37171
297	15762	37131
298	15817	37083
299	15872	37036
300	15924	36981
301	15982	36939
302	16041	36901
303	16092	36842
304	16145	36790
305	16198	36738
306	16261	36708
307	16313	36651
308	16358	36582
309	16412	36530
310	16464	36475
311	16518	36424
312	16575	36381
313	16638	36349
314	16694	36303
315	16754	36265
316	16802	36202
317	16857	36154
318	16909	36098
319	16962	36046
320	17011	35983
321	17067	35936
322	17116	35875
323	17171	35827
324	17226	35777
